RecordID,fixedAcidity,pH,alcohol,WineType,Brand,quality,sat,price,margin
1,7.4,3.51,9.4,R,Blossom Hill,4.44,7.2,4.77,0.78
2,7.8,3.2,9.8,R,Blossom Hill,6.3,8.5,5.46,0.57
3,7.8,3.26,9.8,R,Gallo,4.104,9.4,5.48,0.46
4,11.2,3.16,9.8,R,Yellow Tail,11.66,7.4,5.23,0.39
5,7.4,3.51,9.4,R,Yellow Tail,2.97,6.2,5.03,0.4
6,7.4,3.51,9.4,R,Sutter Home,8.08,6.3,3.66,0.47
7,7.9,3.3,9.4,R,Gallo,9.55,6.4,3.42,0.24
8,7.3,3.39,10,R,Sutter Home,6.15,5.9,3.63,0.54
9,7.8,3.36,9.5,R,Gallo,4.86,10,5.03,0.47
10,7.5,3.35,10.5,R,Beringer,5.504,7.1,4.6,0.75
11,6.7,3.28,9.2,R,Yellow Tail,8.236,7.4,5.78,0.76
12,7.5,3.35,10.5,R,Sutter Home,5.13,8.9,6.37,0.39
13,5.6,3.58,9.9,R,Yellow Tail,13.6,9.3,7.25,0.7
14,7.8,3.26,9.1,R,Gallo,6.735,7,3.87,0.59
15,8.9,3.16,9.2,R,Yellow Tail,5.424,8,5.8,0.57
16,8.9,3.17,9.2,R,Sutter Home,4.44,9.6,5.87,0.35
17,8.5,3.3,10.5,R,Beringer,4.96,8.3,5.48,0.57
18,8.1,3.11,9.3,R,Yellow Tail,7.56,7.6,4.87,0.44
19,7.4,3.38,9,R,Blossom Hill,7.434,8.8,5.93,0.49
20,7.9,3.04,9.2,R,Jacobs Creek,6.746,7.8,5.07,0.48
21,8.9,3.39,9.4,R,Yellow Tail,8.644,7.9,4.88,0.74
22,7.6,3.52,9.7,R,Beringer,3.46,5.7,4.71,0.52
23,7.9,3.17,9.5,R,Jacobs Creek,3.274,7.1,4.82,0.47
24,8.5,3.17,9.4,R,Gallo,2.88,5.8,4.77,0.47
25,6.9,3.43,9.7,R,Beringer,8.8,8.2,5.62,0.39
26,6.3,3.34,9.3,R,Jacobs Creek,6.398,6.8,4.26,0.53
27,7.6,3.28,9.5,R,Gallo,6.53,6.3,4.35,0.73
28,7.9,3.17,9.5,R,Blossom Hill,5.028,7.3,5.5,0.65
29,7.1,3.47,9.4,R,Sutter Home,12.95,7.2,5.07,0.52
30,7.8,3.38,9.8,R,Beringer,7.38,7.2,7.21,0.73
31,6.7,3.35,10.1,R,Jacobs Creek,5.904,7.3,7.07,0.6
32,6.9,3.46,10.6,R,Gallo,7.706,9,6.99,0.6
33,8.3,3.17,9.8,R,Yellow Tail,8.384,8.7,6.93,0.7
34,6.9,3.45,9.4,R,Gallo,7.83,7.9,6.99,0.39
35,5.2,3.38,9.2,R,Blossom Hill,16.624,7.2,6.56,0.48
36,7.8,3.4,9.6,R,Beringer,13.592,8.4,7.54,0.64
37,7.8,3.42,10.8,R,Jacobs Creek,17,9.9,7.51,0.16
38,8.1,3.23,9.7,R,Jacobs Creek,17.23,10,8.05,0.1
39,5.7,3.5,9.8,R,Gallo,17.688,10,6.95,0.73
40,7.3,3.33,10.5,R,Sutter Home,17.238,9.5,6.58,0.39
41,7.3,3.33,10.5,R,Gallo,12.6,7.7,5.35,0.42
42,8.8,3.26,9.3,R,Gallo,13.54,6.6,4.94,0.38
43,7.5,3.21,10.5,R,Gallo,16.56,9.1,6.21,0.39
44,8.1,3.3,10.3,R,Blossom Hill,9.9,5.9,4.47,0.39
45,6.8,3.48,9.5,R,Gallo,11.925,4.8,4.03,0.48
46,4.6,3.9,13.1,R,Beringer,10.178,7.1,5.49,0.43
47,7.7,3.25,9.2,R,Yellow Tail,18.2,9.5,8.29,0.16
48,8.7,3.25,9.5,R,Beringer,13.332,8.8,6.18,0.8
49,6.4,3.34,9.2,R,Beringer,11.648,9.3,7.99,0.1
50,5.6,3.32,9.2,R,Jacobs Creek,12.024,9.6,7.05,0.1
51,8.8,3.15,9.2,R,Beringer,7.689,9.7,7.48,0.1
52,6.6,3.4,9.4,R,Beringer,7.699,9.8,6.32,0.1
53,6.6,3.39,9.4,R,Jacobs Creek,7.699,10,7.32,0.1
54,8.6,3.2,9.4,R,Jacobs Creek,11.218,9.6,7.11,0.1
55,7.6,3.17,10.2,R,Jacobs Creek,7.699,9.4,6.6,0.1
56,7.7,3.34,9.5,R,Blossom Hill,16.53,8.1,6.1,0.63
57,10.2,3.04,9.6,R,Jacobs Creek,13.226,8.6,6.8,0.48
58,7.5,3.26,9.4,R,Jacobs Creek,13.584,8.8,7.29,0.73
59,7.8,3.43,10,R,Jacobs Creek,17.23,9,8.25,0.71
60,7.3,3.41,9.4,R,Beringer,16.32,8.7,5.7,0.66
61,8.8,3.44,9.2,R,Gallo,14.32,7.7,5.26,0.72
62,7.7,3.21,9.3,R,Sutter Home,16.249,8.4,6.42,0.63
63,7.5,3.38,9.5,R,Yellow Tail,17.142,8.5,6.65,0.39
64,7,3.39,9.8,R,Jacobs Creek,7.731,7.5,4.58,0.37
65,7.2,3.41,10.9,R,Beringer,8.412,8.7,6.17,0.65
66,7.2,3.41,10.9,R,Sutter Home,6.198,8.9,4.6,0.35
67,7.5,3.42,9.6,R,Beringer,5.016,4.8,4.1,0.18
68,6.6,3.44,10.7,R,Jacobs Creek,5.79,7.5,4.98,0.23
69,9.3,3.28,10.7,R,Yellow Tail,7.1,6.3,4.68,0.34
70,8,3.34,10.5,R,Beringer,15.192,8.4,6.2,0.6
71,7.7,3.32,9.5,R,Sutter Home,5.918,7.6,4.9,0.24
72,7.7,3.32,9.5,R,Yellow Tail,13.29,9,3.93,0.45
73,7.7,3.31,9.5,R,Beringer,5.962,6.9,6.8,0.24
74,8.3,3.31,9.2,R,Yellow Tail,18.74,8.6,6.54,0.16
75,9.7,3.28,9.6,R,Jacobs Creek,15,8.6,7.21,0.66
76,8.8,3.54,10.5,R,Yellow Tail,10.6,7.9,5.96,0.11
77,8.8,3.54,10.5,R,Jacobs Creek,12.03,6.3,7.01,0.45
78,6.8,3.52,10.7,R,Sutter Home,11.07,7.1,5.53,0.51
79,6.7,3.38,10.1,R,Gallo,5.962,6.2,6.78,0.14
80,8.3,3.16,9.1,R,Yellow Tail,12.2,8.7,5.17,0.52
81,6.2,3.41,9.2,R,Beringer,18.81,9.1,7.04,0.39
82,7.8,3.13,9.4,R,Gallo,14.22,6.1,5.58,0.26
83,7.4,3.36,9.1,R,Beringer,19.13,9,7.61,0.39
84,7.3,3.16,9.4,R,Jacobs Creek,5.962,7.1,7.14,0.5
85,6.3,3.44,10.3,R,Yellow Tail,19.84,9.6,8.63,0.39
86,6.9,3.41,10.1,R,Beringer,6.12,2.5,5.28,0.27
87,8.6,2.93,9.9,R,Beringer,10.22,8.2,7.21,0.57
88,7.7,3.39,9.6,R,Yellow Tail,9.89,5.2,4.56,0.25
89,9.3,3.14,9.5,R,Blossom Hill,8.4,1,4.16,0.52
90,7,3.48,9,R,Beringer,13.712,9,5.7,0.49
91,7.9,3.23,9.5,R,Beringer,17.45,9.2,7.33,0.71
92,8.6,2.93,9.9,R,Sutter Home,18.3,9.1,7.85,0.16
93,8.6,2.93,9.8,R,Jacobs Creek,11.412,8.9,4.15,0.49
94,7.7,3.39,9.6,R,Jacobs Creek,11.29,7.6,4.77,0.45
95,5,3.75,10.5,R,Blossom Hill,7.8,3.7,4.46,0.4
96,4.7,3.85,12.9,R,Gallo,15.36,8.2,5.63,0.65
97,6.8,3.45,10.7,R,Sutter Home,8.025,6.5,4.63,0.44
98,7,3.25,9.2,R,Yellow Tail,6.68,8,6.16,0.16
99,7.6,3.39,9.8,R,Beringer,16.425,8.1,5.64,0.55
100,8.1,3.3,9,R,Gallo,12.315,8.5,6.05,0.69
101,8.3,3.4,10.2,R,Yellow Tail,7.09,8.8,6.53,0.39
102,7.8,3.31,10.4,R,Beringer,16.5,8.2,6.59,0.69
103,8.1,3.3,9,R,Sutter Home,6.76,8.4,5.91,0.63
104,8.1,3.29,9.2,R,Beringer,12.96,9.2,5.28,0.16
105,7.2,3.33,9.4,R,Beringer,8.05,8,5.09,0.68
106,8.1,3.29,9.2,R,Beringer,17.6,9.7,7.53,0.39
107,7.8,3.08,9.3,R,Beringer,6.489,9.2,7.11,0.39
108,6.2,3.46,9.3,R,Jacobs Creek,6.744,8.7,6.24,0.24
109,8,3.37,9.6,R,Jacobs Creek,11.985,9.3,5.4,0.7
110,8.1,3.21,9.3,R,Beringer,12.9,9.1,5.46,0.39
111,7.8,3.19,9.5,R,Yellow Tail,7.21,6.2,3.79,0.7
112,8.4,3.15,9.8,R,Gallo,5.697,8.8,6.07,0.79
113,8.4,3.15,9.8,R,Beringer,4.46,8.5,7.19,0.69
114,10.1,3.32,9.7,R,Sutter Home,13.5,6.7,4.28,0.62
115,7.8,3.19,9.5,R,Gallo,4.5,6.7,4.71,0.4
116,9.4,3.07,10.5,R,Gallo,9.84,5.9,4.48,0.52
117,8.3,3.39,10,R,Jacobs Creek,5.962,8.2,5.5,0.49
118,7.8,3.37,9.4,R,Blossom Hill,13.353,7.8,5.17,0.69
119,8.8,3.21,10.9,R,Yellow Tail,9.69,5.7,4.74,0.36
120,7,3.34,9.2,R,Yellow Tail,6.5,7.6,3.7,0.55
121,7.3,3.3,9,R,Gallo,10.87,7.5,5.29,0.58
122,8.8,3.21,10.9,R,Jacobs Creek,9.81,5.2,4.89,0.56
123,7.3,3.49,9.2,R,Beringer,9.216,5.6,4.35,0.56
124,8,3.44,9.5,R,Sutter Home,11.214,6.9,6.48,0.58
125,7.8,3.39,9.5,R,Yellow Tail,5.71,6.2,4.28,0.38
126,9,3.16,9.4,R,Sutter Home,10.955,6.2,4.38,0.56
127,8.2,3.53,10.9,R,Yellow Tail,10.31,5.7,4.22,0.46
128,8.1,3.54,10.9,R,Gallo,8.05,7.5,5.02,0.63
129,8,3.42,10.5,R,Gallo,14.55,8,6.36,0.77
130,6.1,3.42,9.4,R,Gallo,7.799,7.7,5.41,0.35
131,8,3.24,9.4,R,Sutter Home,14.36,7.7,5.72,0.39
132,5.6,3.63,13,R,Beringer,9.414,3.4,4.38,0.3
133,5.6,3.63,13,R,Blossom Hill,15.747,8.8,5.44,0.77
134,6.6,3.4,9.8,R,Yellow Tail,16.88,9.1,6.62,0.7
135,7.9,3.22,9.9,R,Gallo,10.56,3.6,4.37,0.31
136,8.4,3.19,9.6,R,Gallo,11.5,9.4,7.01,0.55
137,8.3,3.23,9.5,R,Beringer,9.62,4.9,3.18,0.29
138,7.2,3.48,9.2,R,Beringer,7.68,7,4.67,0.43
139,7.8,3.33,9.5,R,Yellow Tail,11.91,6,4.72,0.62
140,7.8,3.32,9.5,R,Yellow Tail,13,9.1,4.64,0.57
141,8.4,3.19,9.6,R,Yellow Tail,9.09,6.2,4.05,0.48
142,8.3,3.23,9.5,R,Yellow Tail,11.718,7.3,4.97,0.64
143,5.2,3.68,14,R,Jacobs Creek,12.58,7.6,4.31,0.39
144,6.3,3.34,9.4,R,Beringer,7.799,7.3,5.15,0.37
145,5.2,3.68,14,R,Jacobs Creek,16.404,9.6,8.68,0.39
146,8.1,3.17,9.4,R,Yellow Tail,10.1,6.9,4.27,0.66
147,5.8,3.54,10,R,Sutter Home,8.58,7.5,5.31,0.4
148,7.6,3.11,9.3,R,Blossom Hill,10.95,7.9,4.68,0.53
149,6.9,3.42,10.2,R,Yellow Tail,5.472,7.6,5.31,0.4
150,8.2,3.53,10.5,R,Gallo,10.5,8.1,5.11,0.47
151,7.3,3.33,10.3,R,Gallo,10.86,8.7,5.31,0.65
152,9.2,2.74,9.4,R,Sutter Home,18.93,9.9,9.16,0.16
153,7.5,3.35,10.1,R,Gallo,7.56,8.7,6.59,0.39
154,7.5,3.35,10.1,R,Blossom Hill,7.23,8.2,5.96,0.5
155,7.1,3.42,10.5,R,Jacobs Creek,11.48,8.1,5.74,0.39
156,7.1,3.42,10.5,R,Jacobs Creek,10.1,4.8,4.37,0.4
157,7.1,3.42,10.5,R,Gallo,7.244,6.9,5.01,0.5
158,7.1,3.42,10.5,R,Beringer,13.13,7.7,5.44,0.68
159,7.1,3.48,9.3,R,Yellow Tail,14.3,7.8,5.87,0.8
160,6.8,3.59,9.3,R,Blossom Hill,15.036,9,5.51,0.63
161,7.6,3.2,9.6,R,Gallo,11.8,6,4.96,0.67
162,7.6,3.17,9.2,R,Yellow Tail,10.39,5.4,4.77,0.72
163,7.8,3.33,10,R,Jacobs Creek,9.42,5.1,4.18,0.51
164,7.4,3.37,9.4,R,Beringer,8.958,5.3,3.95,0.46
165,7.3,3.37,9.4,R,Blossom Hill,8.2,8.4,5.24,0.65
166,7.8,3.19,9.5,R,Gallo,9.95,7.6,4.44,0.46
167,6.8,3.34,10.2,R,Blossom Hill,11.12,5.5,4.69,0.51
168,7.3,3.37,9,R,Gallo,4.973,5.6,4.91,0.25
169,6.8,3.47,10.4,R,Sutter Home,9.766,7.7,6.85,0.72
170,7.5,3,9.5,R,Beringer,6.14,5.2,4.43,0.24
171,7.9,3.36,9.1,R,Jacobs Creek,8.49,6.9,5.99,0.27
172,8,3.29,9.2,R,Yellow Tail,6.14,6,5.04,0.26
173,8,3.29,9.2,R,Gallo,6.14,5.6,5.22,0.18
174,7.4,3.42,11.5,R,Beringer,6.594,6.9,5.37,0.3
175,7.3,3.33,9.5,R,Beringer,10.44,6.3,4.2,0.63
176,6.9,3.35,9.5,R,Blossom Hill,9.21,4.9,4.18,0.48
177,7.3,3.33,9.5,R,Beringer,9.556,8.6,7.22,0.6
178,7.5,3.58,10.5,R,Yellow Tail,8.67,4.3,3.73,0.36
179,7,3.48,9.6,R,Beringer,11.2,5.5,4.43,0.42
180,8.8,3.19,9.5,R,Beringer,10.3,4.4,2.9,0.5
181,8.8,3.19,9.5,R,Yellow Tail,12.73,7.4,5.05,0.6
182,8.9,3.12,9.3,R,Jacobs Creek,10.965,6,4.8,0.8
183,7.2,3.44,9.3,R,Gallo,9.456,5.3,4.15,0.4
184,6.8,3.54,9.3,R,Beringer,16.85,9.6,7.87,0.16
185,6.7,3.52,9.3,R,Yellow Tail,11.8,8.7,5.48,0.39
186,8.9,3.26,9.7,R,Gallo,12.925,7.8,6.37,0.76
187,7.4,3.34,9.2,R,Blossom Hill,10.26,3.9,3.98,0.44
188,7.7,3.39,9.7,R,Yellow Tail,13.306,6.2,4.86,0.7
189,7.9,3.2,9.5,R,Gallo,10.938,7.6,4.83,0.65
190,7.9,3.2,9.5,R,Yellow Tail,10.74,6.7,4.07,0.45
191,8.2,3.23,9.4,R,Jacobs Creek,13.925,7.3,5.7,0.6
192,6.4,3.57,9.8,R,Jacobs Creek,15.248,7.1,5.74,0.68
193,6.8,3.28,9.5,R,Jacobs Creek,9.8,6.1,4.72,0.5
194,7.6,3.28,9.7,R,Gallo,13.42,8.8,6,0.65
195,7.6,3.28,9.7,R,Blossom Hill,9.1,5.1,4.18,0.41
196,7.8,3.25,9.4,R,Yellow Tail,15.688,8.8,6.38,0.16
197,7.3,3.46,10.2,R,Jacobs Creek,7.55,8.1,6.66,0.59
198,11.5,3.11,10.1,R,Blossom Hill,11.2,6.1,4.45,0.39
199,5.4,3.57,13,R,Yellow Tail,13.24,7.3,5.31,0.72
200,6.9,3.51,11.4,R,Gallo,10.52,4.8,4.25,0.36
201,9.6,3.22,10.3,R,Yellow Tail,10.5,4.4,4.05,0.49
202,8.8,3.04,9.3,R,Yellow Tail,9.9,3.2,3.73,0.33
203,6.8,3.36,9.5,R,Beringer,9.9,6.8,4.34,0.56
204,7,3.34,9.2,R,Sutter Home,11.25,6.6,5.04,0.57
205,7,3.34,9.2,R,Jacobs Creek,10.45,5.6,4.5,0.48
206,12.8,3.2,10.8,R,Jacobs Creek,6.197,7.8,5.61,0.52
207,12.8,3.2,10.8,R,Sutter Home,10.43,8.5,3.96,0.39
208,7.8,3.29,9.3,R,Beringer,8.84,6.9,3.66,0.35
209,7.8,3.22,9.4,R,Gallo,11.6,6.6,4.51,0.66
210,11,3.31,10.5,R,Yellow Tail,8.62,5.8,3.97,0.47
211,9.7,3.3,12.4,R,Beringer,8.74,6.2,3.5,0.41
212,8,3.35,10,R,Gallo,8.54,6.1,3.58,0.42
213,11.6,3.21,10.2,R,Gallo,5.401,7.2,4.71,0.79
214,8.2,3.3,10.1,R,Beringer,6.995,7.6,5.54,0.55
215,7.8,3.24,9.8,R,Gallo,8.4,6.3,3.4,0.4
216,7,3.34,10.5,R,Jacobs Creek,7.95,5.4,3.42,0.32
217,8.7,3.14,11,R,Sutter Home,7.25,4.7,3.38,0.19
218,8.1,3.36,9.1,R,Jacobs Creek,7.2,5.6,3.8,0.66
219,7.5,3.39,9.7,R,Jacobs Creek,7.8,5,3.35,0.6
220,7.8,3.3,9.5,R,Beringer,7.85,5.5,3.26,0.41
221,7.8,3.34,9.4,R,Yellow Tail,6.994,8.8,6.03,0.5
222,7.4,3.15,9.4,R,Sutter Home,6.994,8.2,5.14,0.39
223,6.8,3.42,9.5,R,Beringer,8.84,7.4,4.82,0.63
224,8.6,3.28,10,R,Yellow Tail,7.5,4.9,3.57,0.42
225,8.4,3.31,10.4,R,Beringer,6.06,6.2,3.47,0.55
226,7.7,3.37,10.5,R,Jacobs Creek,8.4,5,3.63,0.45
227,8.9,3.04,9.5,R,Beringer,11.85,9.5,5.32,0.39
228,9,3.39,9.8,R,Beringer,6.23,4.2,3.55,0.47
229,7.7,3.37,10.5,R,Gallo,8.1,7.3,4.2,0.55
230,6.9,3.46,11,R,Blossom Hill,8,5.7,4.05,0.49
231,5.2,3.54,12.2,R,Blossom Hill,4.738,7.2,5.03,0.55
232,8,3.37,9.9,R,Yellow Tail,6,4.8,3.67,0.48
233,8.5,3.34,9.6,R,Jacobs Creek,10.9,8.1,5.21,0.39
234,6.9,3.46,11,R,Gallo,7.8,6,3.35,0.45
235,8.2,3.32,9,R,Beringer,6.54,8.4,5.84,0.33
236,7.2,3.37,9,R,Beringer,8.95,8.6,5.12,0.55
237,7.2,3.37,9,R,Sutter Home,6.7,5.2,4.06,0.39
238,7.2,3.37,9.2,R,Jacobs Creek,5.15,6.4,4.4,0.61
239,7.2,3.37,9,R,Sutter Home,3.957,6.6,4.67,0.45
240,8.2,3.32,9,R,Yellow Tail,5.925,8.3,5.59,0.57
241,8.9,3,9.3,R,Jacobs Creek,11.1,7.7,5.87,0.8
242,12,3.14,10.9,R,Beringer,3.804,5.7,4.18,0.41
243,7.7,3.08,9.8,R,Sutter Home,19.04,9.8,6.99,0.75
244,15,3.07,9.2,R,Gallo,6.9,6.7,4.13,0.61
245,15,3.07,9.2,R,Jacobs Creek,6.6,6.7,4.4,0.4
246,7.3,3.61,9.9,R,Beringer,19.03,9.3,6.82,0.1
247,7.1,3.38,9.5,R,Sutter Home,18.93,8.3,6.29,0.39
248,8.2,3.2,9.3,R,Yellow Tail,6.81,6.7,4.96,0.48
249,7.7,3.35,9.8,R,Gallo,7.8,3.6,3.74,0.3
250,7.3,3.61,9.9,R,Jacobs Creek,11.45,7.2,4.34,0.54
251,10.8,3.22,10,R,Gallo,9.985,5.3,3.7,0.33
252,7.1,3.47,9.9,R,Gallo,6.6,4.6,4.62,0.45
253,11.1,3.17,10.5,R,Blossom Hill,11.18,6.4,4.19,0.61
254,7.7,3.23,9.5,R,Beringer,15.588,7.8,5.18,0.64
255,7.1,3.47,9.9,R,Yellow Tail,13.96,8.2,5.02,0.64
256,8,3.26,9.3,R,Gallo,18.8,9.6,7.34,0.16
257,9.4,3.22,9.2,R,Yellow Tail,12.99,8.6,6.17,0.54
258,6.6,3.49,9.2,R,Yellow Tail,4.136,8,5.71,0.8
259,7.7,3.06,9.4,R,Gallo,12.85,7.7,4.48,0.36
260,10,3.36,10.5,R,Beringer,5.13,7.3,5.13,0.52
261,7.9,3.29,9.3,R,Gallo,16.15,6.3,5.72,0.51
262,7,3.35,9.4,R,Jacobs Creek,6.8,8.4,5.26,0.73
263,8,3.34,10,R,Blossom Hill,8.723,8.9,6.69,0.53
264,7.9,3.28,9.3,R,Jacobs Creek,8.594,8.2,5.77,0.57
265,12.5,3.08,10.9,R,Beringer,15.276,7.9,5.62,0.6
266,11.8,3.2,10.2,R,Yellow Tail,14.51,8.4,5.3,0.5
267,8.1,3.6,9.8,R,Beringer,19.76,9.3,7.74,0.16
268,7.9,3.35,12.8,R,Sutter Home,10.8,4.5,4.16,0.34
269,6.9,3.69,9.4,R,Beringer,12,9.3,4.92,0.59
270,11.5,3.28,10.1,R,Gallo,12.5,7.3,5.1,0.36
271,7.9,3.36,10.7,R,Gallo,13.8,8.7,7.12,0.6
272,11.5,3.28,10.1,R,Beringer,14.08,5.7,4.35,0.36
273,10.9,3.22,10.1,R,Jacobs Creek,19.38,9,6.86,0.77
274,8.4,3.31,9.4,R,Jacobs Creek,17.5,9.4,6.51,0.61
275,7.5,3.38,9.4,R,Yellow Tail,11.8,7.1,4.15,0.46
276,7.9,3.36,10.7,R,Blossom Hill,18,9.2,6.44,0.16
277,6.9,3.69,9.4,R,Beringer,12.2,7.3,5.05,0.54
278,11.5,3.28,10.1,R,Yellow Tail,18.485,9.7,9.89,0.1
279,10.3,3.23,12.6,R,Yellow Tail,20.1,9.9,9.51,0.39
280,8.9,3.38,10.5,R,Beringer,5.542,6.5,5.46,0.19
281,11.4,3.12,9.3,R,Jacobs Creek,5.542,7.5,5.78,0.2
282,7.7,3.25,9.9,R,Beringer,6.797,6,5.93,0.26
283,7.6,3.36,9.1,R,Jacobs Creek,19.3,7.9,6.78,0.79
284,8.9,3.38,10.5,R,Yellow Tail,13.38,7.3,7.05,0.42
285,9.9,3.31,9.8,R,Blossom Hill,12.7,8.1,5.13,0.38
286,9.9,3.31,9.8,R,Blossom Hill,16.16,7.4,5.93,0.53
287,12,3.1,10.3,R,Sutter Home,18.82,8.5,7.47,0.39
288,7.5,3.37,10.3,R,Gallo,6.919,7.4,6.65,0.37
289,8.7,3.34,10.6,R,Blossom Hill,12.17,7.9,5.39,0.69
290,11.6,3.2,9.2,R,Sutter Home,10.584,9.5,7.77,0.32
291,8.7,3.34,10.6,R,Blossom Hill,8.566,8.8,7.62,0.39
292,11,3.3,10.5,R,Beringer,8.568,8.6,6.86,0.29
293,10.4,3.22,10.3,R,Sutter Home,18.345,9.4,7.79,0.16
294,6.9,3.41,10.1,R,Jacobs Creek,8.994,7.4,6.82,0.21
295,13.3,3.05,9.5,R,Jacobs Creek,18.46,9.2,6.01,0.55
296,10.8,3.05,9.5,R,Jacobs Creek,13.472,7.4,5.05,0.25
297,10.6,3.16,9.9,R,Gallo,19.629,9.4,7.19,0.16
298,7.1,3.67,9.6,R,Yellow Tail,15.884,9.2,6.93,0.39
299,7.2,3.67,9.7,R,Gallo,11.25,5.3,4.93,0.5
300,6.9,3.68,9.6,R,Gallo,13.868,8.9,5.89,0.68
301,7.5,3.38,10.7,R,Gallo,12.572,7.9,5.27,0.73
302,11.1,3.22,10.1,R,Jacobs Creek,11.208,5.5,3.92,0.51
303,8.3,3.51,10,R,Jacobs Creek,10.23,7.5,5.71,0.56
304,7.4,3.39,9.5,R,Yellow Tail,10.43,5.5,3.69,0.39
305,8.4,3.2,9.2,R,Jacobs Creek,6.108,6.4,6.04,0.6
306,10.3,3.12,9.3,R,Beringer,12.275,7.2,5.85,0.69
307,7.6,3.36,9.4,R,Yellow Tail,10.658,9.3,7.32,0.57
308,10.3,3.19,9.5,R,Jacobs Creek,8.127,8.2,6.71,0.77
309,10.3,3.19,9.5,R,Yellow Tail,3.88,5.9,6.19,0.25
310,7.4,3.41,9.5,R,Gallo,9.114,8.8,7.1,0.56
311,10.3,3.12,9.3,R,Gallo,9.24,2.9,4.18,0.31
312,7.9,3.27,9.4,R,Yellow Tail,8.6,4.8,4,0.32
313,9,3.32,9.5,R,Jacobs Creek,10.116,8,5.82,0.72
314,8.6,3.3,9.4,R,Jacobs Creek,9.534,7,5.55,0.55
315,7.4,3.39,11,R,Gallo,6.94,8,6.33,0.53
316,7.1,3.42,11,R,Sutter Home,11.902,6.5,4.5,0.3
317,9.6,3.3,10.1,R,Jacobs Creek,4.425,5.7,5.39,0.36
318,9.6,3.3,10.4,R,Beringer,19.292,8.1,6.59,0.16
319,9.8,3.37,11.5,R,Beringer,12.247,7,4.68,0.62
320,9.6,3.3,10.4,R,Beringer,12.224,6.3,4.27,0.51
321,9.8,3.37,11.5,R,Blossom Hill,11.844,5.4,4.36,0.6
322,9.3,3.24,9.7,R,Gallo,11.712,8,5.08,0.53
323,7.8,3.29,9.3,R,Yellow Tail,10.5,6.9,4.33,0.29
324,10.3,3.28,9.5,R,Beringer,14.125,7.9,5.18,0.72
325,10,3.16,9.2,R,Jacobs Creek,13.252,8.9,5.83,0.73
326,10,3.16,9.2,R,Blossom Hill,15.909,8.5,6.45,0.39
327,11.6,3.05,11.5,R,Blossom Hill,4.3,5.7,5.8,0.29
328,10.3,3.28,11.5,R,Beringer,4.426,7.6,5.4,0.37
329,13.4,3.16,9.7,R,Jacobs Creek,4.285,5.8,6.02,0.33
330,10.7,3.18,9.5,R,Jacobs Creek,4.259,7,5.7,0.34
331,10.2,3.23,12.5,R,Gallo,12.247,7.6,5.32,0.45
332,10.2,3.23,12.5,R,Yellow Tail,10.8,6.8,4.73,0.35
333,8,3.22,9.4,R,Jacobs Creek,14.35,8.2,5.43,0.73
334,8.4,3.13,11,R,Gallo,8.828,7.9,6.06,0.45
335,7.9,3.34,11.7,R,Yellow Tail,9.843,7.4,5.22,0.56
336,11.9,3.17,12.2,R,Gallo,4.2,5.3,5.47,0.45
337,8.9,3.35,12.5,R,Jacobs Creek,4.528,4.9,4.13,0.48
338,7.8,3.31,10.3,R,Yellow Tail,11.32,8.2,4.75,0.61
339,12.4,3.16,11.5,R,Beringer,4.386,4.9,4,0.46
340,12.5,3.11,9.8,R,Jacobs Creek,9.866,7.7,5.48,0.57
341,12.2,3.12,9.2,R,Jacobs Creek,4,4.4,3.18,0.75
342,10.6,3.21,11.3,R,Gallo,4.916,8.1,5.37,0.47
343,10.9,3.3,9.8,R,Jacobs Creek,4.652,7.8,5.2,0.5
344,10.9,3.3,9.8,R,Blossom Hill,8.95,5.7,3.77,0.43
345,11.9,3.12,10.7,R,Beringer,4.62,6.9,5.26,0.35
346,7,3.6,9.9,R,Gallo,8.294,8.7,3.64,0.28
347,6.6,3.58,12.3,R,Yellow Tail,8,5.1,3.88,0.55
348,13.8,3.02,12,R,Jacobs Creek,8.73,8.2,4.6,0.66
349,9.6,3.11,10,R,Jacobs Creek,9.2,6.5,3.92,0.33
